Name;Jahr;Listenplatz;Partei;Wahlkreis;Bundesland
Effertz, Lars Oliver;2009;33;5;92;9
Egerer, Martin;2009;;14;295;15
Egger, Thomas;2009;34;5;;13
Eggerking, Gustav-Arnold;2009;18;9;34;4
Eggers, Sven;2009;1;9;;15
Egidi-Fritz, Sigrid;2009;13;1;;6
Egtved, Bernd;2009;3;11;;9
Ehinger, Hasso;2009;;6;268;15
Ehler, Bettina;2009;;6;274;15
Ehlers, Sebastian;2009;8;2;;2
Ehlers, Siegrid;2009;;6;120;9
Ehlert, Heidemarie;2009;9;6;71;7
Ehmke, Hans Thomas;2009;5;1;;5
Ehnert, Renate Eva-Maria;2009;6;8;;10
